N0,BPSK,QPSK,TEO
0,0,0,0
0.5,0.00925925925925926,0,0.00233886749052363
1,0.0740740740740741,0.0277777777777778,0.0786496035251426
1.5,0.166666666666667,0.157407407407407,0.173
2,0.24537037037037,0.231481481481481,0.239750061093477
2.5,0.282407407407407,0.273148148148148,0.285803822476666
3,0.310185185185185,0.310185185185185,0.318675944116969
3.5,0.333333333333333,0.324074074074074,0.34308392492762
4,0.337962962962963,0.328703703703704,0.361836804915882
