N,BW,bit_errors
3.0,0.162,96
3.0,0.168,90
3.0,0.174,116
3.0,0.18,98
3.0,0.186,113
3.0,0.192,112
3.0,0.198,98
3.0,0.204,111
3.0,0.21,109
3.0,0.216,94
3.0,0.222,112
3.0,0.228,102
3.0,0.234,105
3.0,0.24,96
3.0,0.246,114
3.0,0.252,98
3.5,0.006,82
3.5,0.012,77
3.5,0.018,79
3.5,0.024,85
3.5,0.03,74
3.5,0.036,72
3.5,0.042,74
3.5,0.048,78
3.5,0.054,82
3.5,0.06,108
3.5,0.066,87
3.5,0.072,121
3.5,0.078,87
3.5,0.084,77
3.5,0.09,123
3.5,0.096,70
3.5,0.102,91
3.5,0.108,100
3.5,0.114,91
3.5,0.12,104
3.5,0.126,103
3.5,0.132,116
3.5,0.138,103
3.5,0.144,95
3.5,0.15,97
3.5,0.156,115
3.5,0.162,96
3.5,0.168,113
3.5,0.174,109
3.5,0.18,115
3.5,0.186,125
3.5,0.192,113
3.5,0.198,101
3.5,0.204,106
3.5,0.21,99
3.5,0.216,99
3.5,0.222,96
3.5,0.228,104
3.5,0.234,99
3.5,0.24,109
3.5,0.246,109
3.5,0.252,94
4.0,0.006,85
4.0,0.012,82
4.0,0.018,73
4.0,0.024,74
4.0,0.03,81
4.0,0.036,84
4.0,0.042,86
4.0,0.048,97
4.0,0.054,85
4.0,0.06,93
4.0,0.066,89
4.0,0.072,119
4.0,0.078,96
4.0,0.084,92
4.0,0.09,111
4.0,0.096,107
4.0,0.102,109
4.0,0.108,117
4.0,0.114,108
4.0,0.12,107
4.0,0.126,100
4.0,0.132,105
4.0,0.138,108
4.0,0.144,116
4.0,0.15,115
4.0,0.156,109
4.0,0.162,116
4.0,0.168,112
4.0,0.174,96
4.0,0.18,102
4.0,0.186,101
4.0,0.192,107
4.0,0.198,102
4.0,0.204,112
4.0,0.21,109
4.0,0.216,109
4.0,0.222,110
4.0,0.228,107
4.0,0.234,118
4.0,0.24,112
4.0,0.246,91
4.0,0.252,113
