N,BW,bit_errors
3.0,0.162,102
3.0,0.168,110
3.0,0.174,102
3.0,0.18,116
3.0,0.186,105
3.0,0.192,122
3.0,0.198,114
3.0,0.204,113
3.0,0.21,105
3.0,0.216,97
3.0,0.222,100
3.0,0.228,105
3.0,0.234,112
3.0,0.24,104
3.0,0.246,103
3.0,0.252,117
3.5,0.006,79
3.5,0.012,77
3.5,0.018,79
3.5,0.024,70
3.5,0.03,76
3.5,0.036,77
3.5,0.042,72
3.5,0.048,71
3.5,0.054,89
3.5,0.06,73
3.5,0.066,95
3.5,0.072,95
3.5,0.078,76
3.5,0.084,74
3.5,0.09,104
3.5,0.096,83
3.5,0.102,107
3.5,0.108,112
3.5,0.114,115
3.5,0.12,110
3.5,0.126,116
3.5,0.132,114
3.5,0.138,103
3.5,0.144,115
3.5,0.15,110
3.5,0.156,117
3.5,0.162,106
3.5,0.168,114
3.5,0.174,120
3.5,0.18,111
3.5,0.186,91
3.5,0.192,114
3.5,0.198,112
3.5,0.204,99
3.5,0.21,109
3.5,0.216,109
3.5,0.222,105
3.5,0.228,106
3.5,0.234,108
3.5,0.24,97
3.5,0.246,95
3.5,0.252,113
4.0,0.006,82
4.0,0.012,81
4.0,0.018,71
4.0,0.024,76
4.0,0.03,73
4.0,0.036,76
4.0,0.042,90
4.0,0.048,101
4.0,0.054,80
4.0,0.06,99
4.0,0.066,81
4.0,0.072,121
4.0,0.078,109
4.0,0.084,114
4.0,0.09,101
4.0,0.096,100
4.0,0.102,105
4.0,0.108,93
4.0,0.114,84
4.0,0.12,124
4.0,0.126,100
4.0,0.132,109
4.0,0.138,115
4.0,0.144,124
4.0,0.15,112
4.0,0.156,117
4.0,0.162,113
4.0,0.168,116
4.0,0.174,105
4.0,0.18,99
4.0,0.186,110
4.0,0.192,116
4.0,0.198,115
4.0,0.204,102
4.0,0.21,92
4.0,0.216,87
4.0,0.222,111
4.0,0.228,116
4.0,0.234,111
4.0,0.24,97
4.0,0.246,112
4.0,0.252,92
